metodo,hit@1_mean,hit@1_std,hit@3_mean,hit@3_std,hit@5_mean,hit@5_std,hit@10_mean,hit@10_std,recall@1_mean,recall@1_std,recall@3_mean,recall@3_std,recall@5_mean,recall@5_std,recall@10_mean,recall@10_std,mrr_mean,mrr_std,source_in_final_context_mean,source_in_final_context_std
bm25,0.35,0.4781665150137575,0.55,0.49874213637205855,0.55,0.49874213637205855,0.65,0.47816651501375756,0.35,0.4781665150137575,0.55,0.49874213637205855,0.55,0.49874213637205855,0.65,0.47816651501375756,0.45416666666666666,0.435082958004764,0.55,0.49874213637205855
dense_no_rerank,0.7,0.4594075275633928,0.75,0.43409931012992453,0.8,0.40100376569366847,0.95,0.21849186132974535,0.7,0.4594075275633928,0.75,0.43409931012992453,0.8,0.40100376569366847,0.95,0.21849186132974535,0.7597222222222222,0.3775645397791172,0.8,0.40100376569366847
dense_rerank,0.8,0.40100376569366836,0.8,0.40100376569366836,0.9,0.30075282427025135,0.95,0.21849186132974535,0.8,0.40100376569366836,0.8,0.40100376569366836,0.9,0.30075282427025135,0.95,0.21849186132974535,0.8308333333333333,0.3417805301138961,0.85,0.3579674615346875
tfidf,0.65,0.47816651501375756,0.75,0.4340993101299244,0.75,0.4340993101299244,0.75,0.4340993101299244,0.65,0.47816651501375756,0.75,0.4340993101299244,0.75,0.4340993101299244,0.75,0.4340993101299244,0.7,0.4311956032257356,0.75,0.4340993101299244
