metodo,rouge1_mean,rouge1_std,rouge2_mean,rouge2_std,rougeL_mean,rougeL_std,rougeLsum_mean,rougeLsum_std,bleu_mean,bleu_std,bertscore_precision_mean,bertscore_precision_std,bertscore_recall_mean,bertscore_recall_std,bertscore_f1_mean,bertscore_f1_std,f1_token_mean,f1_token_std,exact_match_mean,exact_match_std,latencia_segundos_mean,latencia_segundos_std,n_fontes_mean,n_fontes_std
bm25,0.49727838688895865,0.24953886357339986,0.34207381282053734,0.28030570282542194,0.4598339182407104,0.26146355326783266,0.4598339182407104,0.26146355326783266,0.22492616950322072,0.28763326531421274,0.8825214672088623,0.0597277536393555,0.9182889467477798,0.04883929220605665,0.8993822038173676,0.049302990736640226,0.5167626570952626,0.27729498804850006,0.06,0.2380827946018509,3.7916345000000002,0.6490070132719141,4.0,0.0
dense_no_rerank,0.6479733169516879,0.23279570879148329,0.5314447418189835,0.2896786151307968,0.6299984526198872,0.23935597143073853,0.6299984526198872,0.23935597143073853,0.3900780333504366,0.34362652202160004,0.9007728981971741,0.060460257177763516,0.9535333976149559,0.04083680132996371,0.9256688347458839,0.045692947502458024,0.6793790648910817,0.2176671883851273,0.2,0.40100376569366825,4.0418755,0.5830785091985433,4.0,0.0
dense_rerank,0.570464723857894,0.23932111099695053,0.44135788012001337,0.29873346682663166,0.5481045856587156,0.2514549798475911,0.5481045856587156,0.2514549798475911,0.3109694963832419,0.32906708620334296,0.8854110729694367,0.062149281005505735,0.9459759786725044,0.04296874876605249,0.9139383217692375,0.04756398614531506,0.6155667103308903,0.22520315378691463,0.1,0.30075282427025135,4.365308,0.8883642360063104,4.0,0.0
tfidf,0.42508979675756625,0.2413896031087677,0.28647867365873286,0.25647550365589467,0.39976403409172867,0.2498690843744392,0.39976403409172867,0.2498690843744392,0.15566064641526087,0.2301899654344491,0.8670724558830262,0.049665508387464946,0.908474802672863,0.049039285459450487,0.8866618114709854,0.043432771046545,0.4560874337308089,0.25512397143985693,0.05,0.21849186132974538,3.9108305000000003,0.7622854941507896,4.0,0.0
