metodo,rouge1_mean,rouge1_std,rouge2_mean,rouge2_std,rougeL_mean,rougeL_std,rougeLsum_mean,rougeLsum_std,bleu_mean,bleu_std,bertscore_precision_mean,bertscore_precision_std,bertscore_recall_mean,bertscore_recall_std,bertscore_f1_mean,bertscore_f1_std,f1_token_mean,f1_token_std,exact_match_mean,exact_match_std,latencia_segundos_mean,latencia_segundos_std,n_fontes_mean,n_fontes_std
bm25,0.45946570169017403,0.29618320579356616,0.33643176335502195,0.33015634880375044,0.4350780637233911,0.3049219120715674,0.4350780637233911,0.3049219120715674,0.26084227190516734,0.34252540865181474,0.8830731186270714,0.07092594868541346,0.921338369846344,0.06078312273348285,0.9011438390612603,0.061983626412665846,0.46638949284498404,0.3151590506340046,0.1,0.3007528242702514,19.8987085,5.679774727420886,4.0,0.0
dense_no_rerank,0.6319130811899119,0.23350879949712594,0.5350941881849015,0.271855528828692,0.6132149587678604,0.2500777397180909,0.6132149587678604,0.2500777397180909,0.42065755669503524,0.29932097490061865,0.9039228504896164,0.06152816650430315,0.9632638585567475,0.03080528995201445,0.9320556396245956,0.04405413130511093,0.6699849198074074,0.21955601926530793,0.085,0.27958152504364203,21.9487665,6.391764317304541,4.0,0.0
dense_rerank,0.5447557574017106,0.227213422667232,0.4237135001918666,0.2780222063590041,0.5088566196104661,0.2518620419208345,0.5088566196104661,0.2518620419208345,0.30646653808907787,0.28698766050738933,0.8846753019094468,0.05567050606742192,0.950257728099823,0.04192162983510104,0.915757237970829,0.044881188769555394,0.5862807583256905,0.23415919912629163,0.065,0.247144496216384,23.4060005,7.108317200870448,4.0,0.0
tfidf,0.4540522436319366,0.2669810219339739,0.3266700392503878,0.2796058513270001,0.4084300970420411,0.2812465948163211,0.4084300970420411,0.2812465948163211,0.2201416771797505,0.26855630835853844,0.8725640788674355,0.054605985510776285,0.9174276259541512,0.06194082239160691,0.8937686288356781,0.053125873100801434,0.4719182021843282,0.2872840364861575,0.05,0.21849186132974538,19.995092500000002,5.878097654930398,4.0,0.0
